SAID,GSE,GSM,species,Cells,Condition,Age,Sex,Tissue location,Fine cell types,Gross cell types,Title,Summary,Overall Design,PubMed
SAID113,CRA028974,SAMC5773651,Mouse,9972,Healthy,P30,male,footpad,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,,,,
SAID114,CRA028974,SAMC5773652,Mouse,5638,Card9 Knockout,P30,male,footpad,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Basophil|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt17+ Krt6a+ Migratory Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,,,,
SAID115,CRA028974,SAMC5773653,Mouse,6548,Healthy,P30,male,footpad,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt17+ Krt6a+ Migratory Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,,,,
SAID116,CRA028974,SAMC5773654,Mouse,6995,Card9 Knockout,P30,male,footpad,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Basophil|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,,,,
SAID117,CRA028974,SAMC5773655,Mouse,7849,Healthy,P30,male,footpad,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt17+ Krt6a+ Migratory Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,,,,
SAID118,CRA028974,SAMC5773656,Mouse,8913,Card9 Knockout,P30,male,footpad,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Basophil|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt17+ Krt6a+ Migratory Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,,,,
SAID119,CRA028974,SAMC5773657,Mouse,9543,Healthy,P30,male,footpad,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,,,,
SAID120,GSE249793,GSM7964420,Human,1629,Healthy,Not mentioned,Not mentioned,whole skin,B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|COL17A1+ KRT14+ Basal Keratinocyte|FCN1+ Monocyte|IL7R+ Naive CD4 T Cell|Mast Cell|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Unknown|Vascular Endothelial Cell,"scRNASeq Data of CD3 Negative Immune Cells in HS lesional skin, healthy skin, and matched blood","Hidradenitis suppurativa (HS) is an inflammatory skin disease with limited therapeutic options. We and others have previously identified an abnormal B cell infiltrate within HS lesional skin. We performed scRNASequencing on CD3 negative cells from inflammatory HS skin lesions, healthy control skin and matched blood to better understand infiltrating B cells amongst other immune cells within lesional skin.",scRNASeq of CD3 Negative cells sort-purified from enzymatically digested skin of biopsied hidradenitis suppurativa inflammatory lesions or of healthy control skin and from matched patient blood,38113104; 40690378
SAID121,GSE249793,GSM7964422,Human,2346,Healthy,Not mentioned,Not mentioned,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|IL7R+ Naive CD4 T Cell|Langerhans Cell|Mast Cell|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|Suprabasal Keratinocyte|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Vascular Endothelial Cell,"scRNASeq Data of CD3 Negative Immune Cells in HS lesional skin, healthy skin, and matched blood","Hidradenitis suppurativa (HS) is an inflammatory skin disease with limited therapeutic options. We and others have previously identified an abnormal B cell infiltrate within HS lesional skin. We performed scRNASequencing on CD3 negative cells from inflammatory HS skin lesions, healthy control skin and matched blood to better understand infiltrating B cells amongst other immune cells within lesional skin.",scRNASeq of CD3 Negative cells sort-purified from enzymatically digested skin of biopsied hidradenitis suppurativa inflammatory lesions or of healthy control skin and from matched patient blood,38113104; 40690378
SAID122,GSE249793,GSM7964423,Human,2328,Healthy,Not mentioned,Not mentioned,whole skin,B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Erythrocyte|IL7R+ Naive CD4 T Cell|Langerhans Cell|Mast Cell|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|Suprabasal Keratinocyte|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Erythrocyte|Fibroblast|Immune|Keratinocyte|Vascular Endothelial Cell,"scRNASeq Data of CD3 Negative Immune Cells in HS lesional skin, healthy skin, and matched blood","Hidradenitis suppurativa (HS) is an inflammatory skin disease with limited therapeutic options. We and others have previously identified an abnormal B cell infiltrate within HS lesional skin. We performed scRNASequencing on CD3 negative cells from inflammatory HS skin lesions, healthy control skin and matched blood to better understand infiltrating B cells amongst other immune cells within lesional skin.",scRNASeq of CD3 Negative cells sort-purified from enzymatically digested skin of biopsied hidradenitis suppurativa inflammatory lesions or of healthy control skin and from matched patient blood,38113104; 40690378
SAID123,GSE249793,GSM7964424,Human,1639,Healthy,Not mentioned,Not mentioned,whole skin,B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|IL7R+ Naive CD4 T Cell|Mast Cell|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|Smooth Muscle Cell|Suprabasal Keratinocyte|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Smooth Muscle Cell|Vascular Endothelial Cell,"scRNASeq Data of CD3 Negative Immune Cells in HS lesional skin, healthy skin, and matched blood","Hidradenitis suppurativa (HS) is an inflammatory skin disease with limited therapeutic options. We and others have previously identified an abnormal B cell infiltrate within HS lesional skin. We performed scRNASequencing on CD3 negative cells from inflammatory HS skin lesions, healthy control skin and matched blood to better understand infiltrating B cells amongst other immune cells within lesional skin.",scRNASeq of CD3 Negative cells sort-purified from enzymatically digested skin of biopsied hidradenitis suppurativa inflammatory lesions or of healthy control skin and from matched patient blood,38113104; 40690378
SAID124,GSE155850,GSM7754887,Human,706,Healthy,Not mentioned,Not mentioned,whole skin,COL17A1+ KRT14+ Basal Keratinocyte|Hair Follicle Keratinocyte|Hair Follicle Outer Root Sheath Keratinocyte|KRT1 KRT10+ Spinous Keratinocyte|KRTDAP+ DMKN+ Spinous Keratinocyte|Langerhans Cell|Melanocyte|Stress Keratinocyte|Suprabasal Keratinocyte|cDC2 Dendritic Cell,Immune|Keratinocyte|Melanocyte,scRNASeq data of CD45+CD3-CD19- and keratinocytes in normal and HS skin,"Hidradenitis suppurativa (HS) is a highly prevalent, morbid inflammatory skin disease with limited treatment options. The major cell types and inflammatory pathways in skin of HS patients are poorly understood. We profiled via scRNASeq myeloid cells and keratinocytes sort-purified from two healthy skin samples and two samples with HS pathology to determine major cell types and transcriptional pathways altered in HS.",scRNASeq of myeloid immune cells and keratinocytes profiled in healthy appearing skin versus skin with hidradenitis suppurativa pathology,32841223
SAID125,GSE155850,GSM7754889,Human,991,HS lesion,Not mentioned,Not mentioned,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|COL17A1+ KRT14+ Basal Keratinocyte|Hair Follicle Keratinocyte|Hair Follicle Outer Root Sheath Keratinocyte|KRT1 KRT10+ Spinous Keratinocyte|KRTDAP+ DMKN+ Spinous Keratinocyte|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|S100A2+ Proliferating Keratinocyte|Stress Keratinocyte|Suprabasal Keratinocyte,Immune|Keratinocyte|Melanocyte|Vascular Endothelial Cell,scRNASeq data of CD45+CD3-CD19- and keratinocytes in normal and HS skin,"Hidradenitis suppurativa (HS) is a highly prevalent, morbid inflammatory skin disease with limited treatment options. The major cell types and inflammatory pathways in skin of HS patients are poorly understood. We profiled via scRNASeq myeloid cells and keratinocytes sort-purified from two healthy skin samples and two samples with HS pathology to determine major cell types and transcriptional pathways altered in HS.",scRNASeq of myeloid immune cells and keratinocytes profiled in healthy appearing skin versus skin with hidradenitis suppurativa pathology,32841223
SAID126,GSE155850,GSM7754890,Human,2214,HS lesion,Not mentioned,Not mentioned,whole skin,COL17A1+ KRT14+ Basal Keratinocyte|Hair Follicle Keratinocyte|Hair Follicle Outer Root Sheath Keratinocyte|KRT1 KRT10+ Spinous Keratinocyte|KRTDAP+ DMKN+ Spinous Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|S100A2+ Proliferating Keratinocyte|Stress Keratinocyte|Suprabasal Keratinocyte,Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Vascular Endothelial Cell,scRNASeq data of CD45+CD3-CD19- and keratinocytes in normal and HS skin,"Hidradenitis suppurativa (HS) is a highly prevalent, morbid inflammatory skin disease with limited treatment options. The major cell types and inflammatory pathways in skin of HS patients are poorly understood. We profiled via scRNASeq myeloid cells and keratinocytes sort-purified from two healthy skin samples and two samples with HS pathology to determine major cell types and transcriptional pathways altered in HS.",scRNASeq of myeloid immune cells and keratinocytes profiled in healthy appearing skin versus skin with hidradenitis suppurativa pathology,32841223
SAID127,GSE175990,GSM5352392,Human,7990,HS lesion,Not mentioned,Not mentioned,whole skin,ACKR1+ Post-Capillary Venule Endothelial Cell|B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|Erythrocyte|FCN1+ Monocyte|IL7R+ Naive CD4 T Cell|KRT1 KRT10+ Spinous Keratinocyte|Langerhans Cell|Mast Cell|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|S100A2+ Proliferating Keratinocyte|SPP1+ Inflammatory Macrophage|SPP1+ Inflammatory Macrophages|Schwann Cell|Smooth Muscle Cell|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Erythrocyte|Fibroblast|Immune|Keratinocyte|Melanocyte|Schwann cell|Smooth Muscle Cell|Unknown|Vascular Endothelial Cell,Single cell transcriptional profile for hidradenitis suppurativa,"Hidradenitis suppurativa (HS) is a chronic inflammatory skin disease with a relapsing, remitting course. The disorder is characterized by painful abscesses and nodules in areas with high sweat gland and hair follicle density. The pathogenesis of HS is still incompletely understood. To provide insight into the cellular landscape of HS lesions, we utilized single-cell RNA sequencing (scRNA-seq) technology.",We performed scRNA-seq in lesional skin from patients with HS and heathy donor.,34504848
SAID128,GSE175990,GSM5352393,Human,2224,HS lesion,Not mentioned,Not mentioned,whole skin,B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|IL7R+ Naive CD4 T Cell|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Matrix Remodeling Fibroblasts|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Regulatory T Cell|SPP1+ Inflammatory Macrophage|SPP1+ Inflammatory Macrophages|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Unknown|Vascular Endothelial Cell,Single cell transcriptional profile for hidradenitis suppurativa,"Hidradenitis suppurativa (HS) is a chronic inflammatory skin disease with a relapsing, remitting course. The disorder is characterized by painful abscesses and nodules in areas with high sweat gland and hair follicle density. The pathogenesis of HS is still incompletely understood. To provide insight into the cellular landscape of HS lesions, we utilized single-cell RNA sequencing (scRNA-seq) technology.",We performed scRNA-seq in lesional skin from patients with HS and heathy donor.,34504848
SAID129,GSE175990,GSM5352394,Human,7812,HS lesion,Not mentioned,Not mentioned,whole skin,ACKR1+ Post-Capillary Venule Endothelial Cell|B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|FCN1+ Monocyte|Hair Follicle Outer Root Sheath Keratinocyte|IL7R+ Naive CD4 T Cell|KIR3DL2+ NK/T Cell|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Matrix Remodeling Fibroblasts|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|SPP1+ Inflammatory Macrophages|Schwann Cell|Smooth Muscle Cell|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Schwann cell|Smooth Muscle Cell|Unknown|Vascular Endothelial Cell,Single cell transcriptional profile for hidradenitis suppurativa,"Hidradenitis suppurativa (HS) is a chronic inflammatory skin disease with a relapsing, remitting course. The disorder is characterized by painful abscesses and nodules in areas with high sweat gland and hair follicle density. The pathogenesis of HS is still incompletely understood. To provide insight into the cellular landscape of HS lesions, we utilized single-cell RNA sequencing (scRNA-seq) technology.",We performed scRNA-seq in lesional skin from patients with HS and heathy donor.,34504848
SAID130,GSE175990,GSM5352395,Human,2635,Healthy,Not mentioned,Not mentioned,whole skin,B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|FCN1+ Monocyte|IL7R+ Naive CD4 T Cell|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|PECAM1+ Blood vascular Endothelial Cell|Regulatory T Cell|SPP1+ Inflammatory Macrophage|SPP1+ Inflammatory Macrophages|Smooth Muscle Cell|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Smooth Muscle Cell|Unknown|Vascular Endothelial Cell,Single cell transcriptional profile for hidradenitis suppurativa,"Hidradenitis suppurativa (HS) is a chronic inflammatory skin disease with a relapsing, remitting course. The disorder is characterized by painful abscesses and nodules in areas with high sweat gland and hair follicle density. The pathogenesis of HS is still incompletely understood. To provide insight into the cellular landscape of HS lesions, we utilized single-cell RNA sequencing (scRNA-seq) technology.",We performed scRNA-seq in lesional skin from patients with HS and heathy donor.,34504848
SAID131,GSE179565,GSM5420670,Human,2131,Healthy,10 weeks,Not mentioned,whole skin,ACKR1+ Post-Capillary Venule Endothelial Cell|B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|FCN1+ Monocyte|IL7R+ Naive CD4 T Cell|KRTDAP+ DMKN+ Spinous Keratinocyte|Langerhans Cell|Mast Cell|Matrix Remodeling Fibroblasts|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|SPP1+ Inflammatory Macrophages|Schwann Cell|Smooth Muscle Cell|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Melanocyte|Schwann cell|Smooth Muscle Cell|Unknown|Vascular Endothelial Cell,Single-cell transcriptome analysis reveals the dynamics of human immune cells during early fetal skin development,"The immune system of skin develops in stages in mice. However, the developmental dynamics of immune cells in human skin remains elusive. Here we perform transcriptome profiling of CD45+ hematopoietic cells in human fetal skin at an estimated gestational age of 10–17 weeks by single-cell RNA sequencing. A total of 13 immune cell types are identified. Skin macrophages show heterogeneity and dynamic over the course of skin development. A major shift in lymphoid cell developmental states occurs from the first to the second trimester that implied an in situ differentiation process. Gene expression analysis reveals a typical developmental program in immune cells in accordance with their functional maturation, possibly involving metabolic reprogramming. Finally, we identify transcription factors (TFs) that potentially regulate cellular transitions by comparing TFs and TF-target gene networks. These findings provide detailed insight into how the immune system of the human skin is established during development",Here we perform transcriptome profiling of CD45+ hematopoietic cells in human fetal skin at an estimated gestational age of 10–17 weeks by single-cell RNA sequencing,34380039
