study_accession	paper_id	pmid	doi	relation	evidence	provenance	title_similarity	verified_on	dataset_count
GSE249622	PMID_40690378	40690378	10.7554/eLife.105277	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.324	2026-07-04	11
GSE249793	PMID_38113104	38113104	10.1172/jci.insight.169870	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.295	2026-07-04	4
GSE249793	PMID_40690378	40690378	10.7554/eLife.105277	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.268	2026-07-04	4
GSE261227	PMID_38187565	38187565	10.1101/2023.12.19.571712	preprint	Preprint version of PMID 38613320.	study_publication_overrides.json		2026-07-04	4
GSE261227	PMID_38613320	38613320	10.1111/pcmr.13169	primary_dataset_publication	The article data-availability statement names GSE261227.	study_publication_overrides.json		2026-07-04	4
GSE261766	PMID_38815020	38815020	10.1126/science.adi7453	primary_dataset_publication	The article data-availability statement names GSE261766.	study_publication_overrides.json		2026-07-04	22
GSE269455	PMID_39483478	39483478	10.3389/fimmu.2024.1444777	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.818	2026-07-04	3
GSE269455	PMID_39795953	39795953	10.3390/ijms26010095	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.402	2026-07-04	3
GSE269455	PMID_40004031	40004031	10.3390/ijms26041565	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.430	2026-07-04	3
GSE272509	PMID_39153998	39153998	10.1038/s41419-024-06994-y	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-04	2
HRA000166	PMID_35241665	35241665	10.1038/s41467-022-28799-3	primary_dataset_publication	The article data-availability statement names HRA000166.	study_publication_overrides.json		2026-07-04	14
